System,Resolution,Count,Group
APLO,,1563,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Not A Problem,363,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Incomplete,206,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Won't Fix,365,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Duplicate,352,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Cannot Reproduce,266,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Later,16,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Fixed,9962,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Invalid,217,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,,1590,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Not A Problem,363,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Incomplete,206,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Won't Fix,365,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Duplicate,352,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Cannot Reproduce,266,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Later,16,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Fixed,10786,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Invalid,226,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,,1836,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Not A Problem,377,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Incomplete,206,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Won't Fix,374,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Duplicate,371,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Cannot Reproduce,266,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Later,16,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Fixed,10813,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Invalid,226,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,,1852,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Not A Problem,377,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Incomplete,206,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Won't Fix,375,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Duplicate,371,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Cannot Reproduce,266,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Later,16,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Fixed,10839,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
