System,Type,Count,Group
AMBARI,Documentation,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMBARI,Story,13,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,Bug,7328,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,Test,84,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,Improvement,2568,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,Question,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,New Feature,787,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,Task,926,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,Wish,68,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,Brainstorming,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,Documentation,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,Story,13,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Bug,7686,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Test,85,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Improvement,2684,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Question,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,New Feature,813,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Task,937,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Wish,74,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Brainstorming,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Documentation,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Story,13,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Bug,7965,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Test,93,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Improvement,2797,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Question,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,New Feature,852,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Task,950,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Wish,77,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Brainstorming,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Documentation,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Story,13,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Bug,8027,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Test,93,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Improvement,2839,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Question,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,New Feature,879,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Task,974,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Wish,78,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Brainstorming,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Documentation,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Story,13,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Bug,8046,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Test,93,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Improvement,2859,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Question,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,New Feature,884,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Task,983,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Wish,78,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Brainstorming,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Documentation,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Story,13,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Bug,8222,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Test,93,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Improvement,2930,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Question,20,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
