Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
AESH-400,Bug,Resolved,AESH,Aesh,software,Done,26/08/2016 09:36,31/08/2016 06:14
AESH-399,Feature Request,Resolved,AESH,Aesh,software,Done,22/08/2016 12:21,29/05/2017 20:46
AESH-398,Bug,Resolved,AESH,Aesh,software,Done,22/08/2016 12:19,29/05/2017 17:13
AESH-397,Feature Request,Resolved,AESH,Aesh,software,Done,22/08/2016 12:17,29/05/2017 20:26
AESH-396,Bug,Resolved,AESH,Aesh,software,Done,22/08/2016 12:15,19/06/2017 02:03
AESH-395,Feature Request,Resolved,AESH,Aesh,software,Done,19/08/2016 04:55,22/08/2016 12:11
AESH-393,Feature Request,Resolved,AESH,Aesh,software,Done,05/08/2016 13:38,13/06/2017 11:09
AESH-392,Bug,Resolved,AESH,Aesh,software,Done,05/08/2016 04:33,22/08/2016 12:11
AESH-391,Feature Request,Resolved,AESH,Aesh,software,Done,04/08/2016 05:19,04/08/2016 07:11
AESH-390,Bug,Resolved,AESH,Aesh,software,Done,04/08/2016 00:10,04/08/2016 04:51
AESH-389,Bug,Resolved,AESH,Aesh,software,Won't Do,03/08/2016 10:44,03/08/2016 13:13
AESH-388,Feature Request,Resolved,AESH,Aesh,software,Done,03/08/2016 10:20,04/08/2016 04:52
AESH-387,Bug,Resolved,AESH,Aesh,software,Done,02/08/2016 03:58,02/08/2016 04:02
AESH-386,Feature Request,Resolved,AESH,Aesh,software,Done,08/07/2016 08:27,19/08/2016 12:24
AESH-385,Bug,Resolved,AESH,Aesh,software,Done,05/07/2016 11:55,28/06/2017 00:48
AESH-384,Bug,Resolved,AESH,Aesh,software,Done,05/07/2016 11:07,29/05/2017 20:42
AESH-383,Bug,Resolved,AESH,Aesh,software,Done,05/07/2016 08:41,27/06/2017 18:16
AESH-380,Bug,Resolved,AESH,Aesh,software,Done,01/07/2016 11:42,29/05/2017 20:40
AESH-374,Enhancement,Resolved,AESH,Aesh,software,Done,15/06/2016 02:34,28/06/2017 17:39
AESH-369,Bug,Resolved,AESH,Aesh,software,Done,14/06/2016 06:05,14/06/2016 21:33
AESH-368,Bug,Resolved,AESH,Aesh,software,Won't Do,06/06/2016 08:50,07/06/2016 05:40
AESH-367,Feature Request,Closed,AESH,Aesh,software,Obsolete,06/06/2016 08:47,29/05/2017 17:03
AESH-366,Feature Request,Resolved,AESH,Aesh,software,Done,01/06/2016 15:48,29/05/2017 20:48
AESH-365,Feature Request,Open,AESH,Aesh,software,,25/05/2016 08:43,
AESH-364,Feature Request,Resolved,AESH,Aesh,software,Done,25/05/2016 08:42,10/06/2016 09:10
AESH-363,Feature Request,Open,AESH,Aesh,software,,25/05/2016 08:41,
AESH-362,Feature Request,Resolved,AESH,Aesh,software,Done,25/05/2016 08:41,28/06/2017 17:33
AESH-361,Feature Request,Open,AESH,Aesh,software,,25/05/2016 08:40,
AESH-360,Feature Request,Resolved,AESH,Aesh,software,Done,25/05/2016 08:39,13/06/2017 11:08
AESH-359,Feature Request,Resolved,AESH,Aesh,software,Won't Do,25/05/2016 08:35,10/06/2016 11:16
AESH-358,Feature Request,Resolved,AESH,Aesh,software,Done,25/05/2016 08:33,11/07/2017 17:10
AESH-357,Feature Request,Resolved,AESH,Aesh,software,Done,25/05/2016 08:32,10/06/2016 03:37
AESH-356,Feature Request,Resolved,AESH,Aesh,software,Won't Do,25/05/2016 08:31,13/06/2017 11:06
