Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
AA-912,Task,Closed,AA,Automation Analytics,software,Done,29/11/2021 20:47,06/04/2023 15:41
AA-911,Story,Closed,AA,Automation Analytics,software,Done,29/11/2021 16:49,31/01/2022 16:05
AA-910,Story,Closed,AA,Automation Analytics,software,Done,29/11/2021 16:18,30/11/2021 15:51
AA-909,Task,Closed,AA,Automation Analytics,software,Done,22/11/2021 22:04,11/01/2022 15:19
AA-906,Task,Closed,AA,Automation Analytics,software,Done,18/11/2021 16:28,14/12/2021 15:09
AA-905,Bug,Closed,AA,Automation Analytics,software,Obsolete,17/11/2021 20:40,27/07/2022 15:24
AA-904,Task,Closed,AA,Automation Analytics,software,Done,17/11/2021 19:39,21/11/2021 12:51
AA-903,Story,Closed,AA,Automation Analytics,software,Done,17/11/2021 15:59,02/05/2022 14:38
AA-902,Story,Closed,AA,Automation Analytics,software,Done,17/11/2021 15:52,06/01/2022 09:26
AA-901,Task,Closed,AA,Automation Analytics,software,Done,17/11/2021 13:28,30/11/2021 15:59
AA-900,Task,Closed,AA,Automation Analytics,software,Done,16/11/2021 14:59,14/12/2021 14:31
AA-899,Task,Closed,AA,Automation Analytics,software,Done,16/11/2021 12:50,30/11/2021 15:32
AA-898,Task,Closed,AA,Automation Analytics,software,Obsolete,15/11/2021 17:41,16/12/2021 16:47
AA-897,Task,Closed,AA,Automation Analytics,software,Done,15/11/2021 17:38,16/12/2021 16:13
AA-895,Task,Closed,AA,Automation Analytics,software,Done,15/11/2021 14:18,10/01/2022 18:25
AA-893,Task,Closed,AA,Automation Analytics,software,Done,11/11/2021 21:31,11/01/2022 19:02
AA-890,Task,Closed,AA,Automation Analytics,software,Done,11/11/2021 17:09,07/12/2021 11:30
AA-889,Task,Closed,AA,Automation Analytics,software,Obsolete,10/11/2021 21:53,26/05/2022 18:18
AA-888,Task,Closed,AA,Automation Analytics,software,Done,10/11/2021 21:42,30/11/2021 12:44
AA-882,Bug,Closed,AA,Automation Analytics,software,Done,09/11/2021 16:09,10/11/2021 16:42
AA-881,Bug,Closed,AA,Automation Analytics,software,Done,09/11/2021 11:26,28/11/2021 14:12
AA-880,Story,Closed,AA,Automation Analytics,software,Done,08/11/2021 21:37,21/12/2021 09:42
AA-879,Task,Closed,AA,Automation Analytics,software,Done,08/11/2021 10:36,02/12/2021 12:46
AA-875,Story,Closed,AA,Automation Analytics,software,Done,05/11/2021 18:01,10/01/2022 18:47
AA-874,Story,Closed,AA,Automation Analytics,software,Obsolete,05/11/2021 17:41,17/11/2021 16:36
AA-870,Story,Closed,AA,Automation Analytics,software,Obsolete,04/11/2021 14:33,04/11/2021 14:42
AA-866,Task,Closed,AA,Automation Analytics,software,Done,03/11/2021 15:48,06/10/2023 09:21
AA-865,Bug,Closed,AA,Automation Analytics,software,Done,02/11/2021 19:40,07/11/2021 14:18
AA-864,Story,Closed,AA,Automation Analytics,software,Obsolete,02/11/2021 19:00,17/11/2021 18:08
AA-862,Story,Closed,AA,Automation Analytics,software,Obsolete,02/11/2021 14:56,17/11/2021 16:29
AA-857,Task,Closed,AA,Automation Analytics,software,Done,01/11/2021 12:47,01/11/2021 15:11
AA-855,Task,Closed,AA,Automation Analytics,software,Done,29/10/2021 20:21,30/11/2021 15:26
AA-854,Task,Closed,AA,Automation Analytics,software,Done,29/10/2021 20:15,09/11/2021 11:16
AA-853,Task,Closed,AA,Automation Analytics,software,Done,28/10/2021 20:23,03/04/2022 23:24
AA-852,Story,Closed,AA,Automation Analytics,software,Done,28/10/2021 20:23,17/01/2022 17:57
AA-851,Task,Closed,AA,Automation Analytics,software,Done,28/10/2021 15:52,08/06/2022 17:11
AA-850,Story,Closed,AA,Automation Analytics,software,Done,28/10/2021 13:59,07/02/2022 16:31
AA-849,Task,Closed,AA,Automation Analytics,software,Obsolete,28/10/2021 13:57,15/11/2021 20:03
AA-847,Task,Closed,AA,Automation Analytics,software,Done,28/10/2021 13:56,16/11/2021 12:04
AA-846,Task,Closed,AA,Automation Analytics,software,Done,28/10/2021 13:53,16/11/2021 11:50
AA-842,Task,Closed,AA,Automation Analytics,software,Done,28/10/2021 11:23,02/11/2021 09:05
AA-840,Task,Closed,AA,Automation Analytics,software,Done,27/10/2021 19:19,10/08/2022 15:54
AA-839,Task,Closed,AA,Automation Analytics,software,Done,27/10/2021 19:18,10/08/2022 15:54
AA-838,Task,Closed,AA,Automation Analytics,software,Done,27/10/2021 19:17,12/04/2022 13:46
AA-836,Task,Closed,AA,Automation Analytics,software,Obsolete,27/10/2021 18:48,20/04/2023 15:42
AA-835,Task,Closed,AA,Automation Analytics,software,Done,27/10/2021 17:40,11/01/2022 16:14
AA-833,Bug,Closed,AA,Automation Analytics,software,Done,27/10/2021 11:36,14/11/2021 09:23
AA-832,Task,Closed,AA,Automation Analytics,software,Done,26/10/2021 18:44,21/11/2021 12:54
AA-831,Task,Closed,AA,Automation Analytics,software,Done,21/10/2021 15:41,16/12/2021 16:06
AA-830,Task,Closed,AA,Automation Analytics,software,Done,21/10/2021 15:33,07/11/2021 12:09
AA-829,Task,Closed,AA,Automation Analytics,software,Done,21/10/2021 15:33,09/11/2021 15:36
AA-828,Task,Closed,AA,Automation Analytics,software,Done,21/10/2021 15:32,07/11/2021 12:09
AA-827,Task,Closed,AA,Automation Analytics,software,Done,21/10/2021 15:26,08/12/2021 08:35
AA-825,Task,Closed,AA,Automation Analytics,software,Done,21/10/2021 15:10,11/01/2022 19:47
AA-824,Story,Closed,AA,Automation Analytics,software,Done,21/10/2021 14:46,13/01/2022 11:27
AA-822,Bug,Closed,AA,Automation Analytics,software,Done,20/10/2021 15:14,28/10/2021 18:37
AA-821,Task,Closed,AA,Automation Analytics,software,Done,19/10/2021 19:45,27/07/2023 14:57
AA-820,Task,Closed,AA,Automation Analytics,software,Done,19/10/2021 18:13,26/10/2021 08:11
AA-819,Task,Closed,AA,Automation Analytics,software,Done,19/10/2021 14:41,19/01/2022 14:52
AA-818,Bug,Closed,AA,Automation Analytics,software,Done,19/10/2021 12:15,31/10/2021 10:49
AA-817,Task,Closed,AA,Automation Analytics,software,Done,19/10/2021 12:13,20/10/2021 15:15
AA-815,Task,Closed,AA,Automation Analytics,software,Done,18/10/2021 17:52,26/10/2021 08:52
AA-813,Task,Closed,AA,Automation Analytics,software,Done,15/10/2021 20:53,19/10/2021 21:55
AA-812,Task,Closed,AA,Automation Analytics,software,Done,14/10/2021 20:01,19/10/2021 21:55
AA-811,Task,Closed,AA,Automation Analytics,software,Done,14/10/2021 14:49,09/11/2021 10:12
AA-810,Bug,Closed,AA,Automation Analytics,software,Done,12/10/2021 05:55,11/11/2021 18:25
AA-808,Bug,Closed,AA,Automation Analytics,software,Done,12/10/2021 17:47,19/01/2022 23:02
AA-807,Task,Closed,AA,Automation Analytics,software,Done,12/10/2021 12:49,26/10/2021 12:05
AA-806,Task,Closed,AA,Automation Analytics,software,Done,12/10/2021 12:28,12/10/2021 14:43
AA-802,Task,Closed,AA,Automation Analytics,software,Done,08/10/2021 18:40,04/11/2021 11:37
AA-801,Task,Closed,AA,Automation Analytics,software,Done,08/10/2021 18:39,26/10/2021 09:19
AA-800,Task,Closed,AA,Automation Analytics,software,Done,08/10/2021 17:51,27/10/2021 10:29
AA-799,Task,Closed,AA,Automation Analytics,software,Done,07/10/2021 15:55,18/10/2021 22:39
AA-796,Task,Closed,AA,Automation Analytics,software,Obsolete,06/10/2021 13:18,08/10/2021 08:24
AA-795,Bug,Closed,AA,Automation Analytics,software,Done,06/10/2021 12:55,18/10/2021 21:04
AA-794,Bug,Closed,AA,Automation Analytics,software,Obsolete,06/10/2021 11:36,02/03/2023 16:40
AA-793,Bug,Closed,AA,Automation Analytics,software,Obsolete,06/10/2021 09:09,02/03/2023 16:39
AA-792,Task,Closed,AA,Automation Analytics,software,Done,06/10/2021 08:41,06/10/2021 12:52
AA-791,Task,Closed,AA,Automation Analytics,software,Done,05/10/2021 17:37,31/10/2021 09:29
AA-790,Task,Closed,AA,Automation Analytics,software,Done,05/10/2021 12:30,19/01/2022 16:24
AA-789,Task,Closed,AA,Automation Analytics,software,Done,04/10/2021 17:57,07/10/2021 19:53
AA-787,Task,Closed,AA,Automation Analytics,software,Done,04/10/2021 15:42,04/10/2021 16:00
AA-786,Task,Closed,AA,Automation Analytics,software,Obsolete,04/10/2021 14:05,16/11/2021 14:58
AA-785,Bug,Closed,AA,Automation Analytics,software,Done,04/10/2021 09:00,06/10/2021 13:04
AA-784,Task,Closed,AA,Automation Analytics,software,Done,01/10/2021 08:25,14/11/2021 13:59
AA-783,Task,Closed,AA,Automation Analytics,software,Done,30/09/2021 14:26,13/10/2021 14:14
AA-781,Task,Closed,AA,Automation Analytics,software,Done,30/09/2021 11:06,13/09/2022 17:28
AA-780,Bug,Closed,AA,Automation Analytics,software,Done,30/09/2021 09:45,04/11/2021 14:31
AA-779,Bug,Closed,AA,Automation Analytics,software,Done,30/09/2021 07:56,02/06/2022 15:37
AA-778,Bug,Closed,AA,Automation Analytics,software,Done,30/09/2021 07:45,13/10/2021 08:48
AA-777,Bug,Closed,AA,Automation Analytics,software,Done,30/09/2021 07:39,20/10/2021 12:35
AA-776,Task,Closed,AA,Automation Analytics,software,Done,30/09/2021 07:32,12/10/2021 12:57
AA-775,Task,Closed,AA,Automation Analytics,software,Done,29/09/2021 13:52,05/01/2022 10:20
AA-774,Bug,Closed,AA,Automation Analytics,software,Obsolete,28/09/2021 13:37,02/03/2023 16:36
AA-773,Task,Closed,AA,Automation Analytics,software,Done,27/09/2021 19:18,07/10/2021 19:51
AA-767,Task,Closed,AA,Automation Analytics,software,Obsolete,27/09/2021 19:10,02/03/2023 16:35
AA-761,Story,Closed,AA,Automation Analytics,software,Done,27/09/2021 19:04,02/11/2021 15:42
AA-755,Story,Closed,AA,Automation Analytics,software,Done,27/09/2021 19:01,28/11/2021 14:18
AA-750,Task,Closed,AA,Automation Analytics,software,Obsolete,27/09/2021 13:42,02/02/2022 16:12
AA-748,Task,Closed,AA,Automation Analytics,software,Done,24/09/2021 08:13,04/10/2021 09:42
AA-745,Bug,Closed,AA,Automation Analytics,software,Obsolete,20/09/2021 14:06,02/03/2023 16:34
AA-739,Story,Closed,AA,Automation Analytics,software,Done,17/09/2021 14:25,28/09/2023 14:53
AA-732,Story,Closed,AA,Automation Analytics,software,Done,17/09/2021 13:59,27/04/2022 15:12
AA-731,Bug,Closed,AA,Automation Analytics,software,Done,14/09/2021 19:10,24/09/2021 21:59
AA-730,Task,Closed,AA,Automation Analytics,software,Obsolete,14/09/2021 09:18,02/03/2023 16:32
AA-729,Task,Closed,AA,Automation Analytics,software,Done,13/09/2021 12:41,01/10/2021 17:46
