Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
USHIFT-440,Bug,Closed,USHIFT,MicroShift,software,Duplicate,29/09/2022 19:30,06/10/2022 19:42
USHIFT-439,Bug,Closed,USHIFT,MicroShift,software,Not a Bug,29/09/2022 19:24,08/11/2022 13:15
USHIFT-438,Bug,Closed,USHIFT,MicroShift,software,Done,29/09/2022 08:58,27/10/2022 07:53
USHIFT-436,Bug,Closed,USHIFT,MicroShift,software,Obsolete,27/09/2022 08:30,31/10/2022 17:26
USHIFT-434,Bug,Closed,USHIFT,MicroShift,software,Done,26/09/2022 16:01,16/11/2022 16:54
USHIFT-433,Story,Closed,USHIFT,MicroShift,software,Done,26/09/2022 15:59,08/11/2022 19:22
USHIFT-432,Story,Closed,USHIFT,MicroShift,software,Done,26/09/2022 15:58,02/02/2023 14:11
USHIFT-429,Task,Closed,USHIFT,MicroShift,software,Done,22/09/2022 08:58,29/09/2022 10:58
USHIFT-428,Story,Closed,USHIFT,MicroShift,software,Done,20/09/2022 12:50,31/10/2022 18:13
USHIFT-427,Task,Closed,USHIFT,MicroShift,software,Duplicate,20/09/2022 14:02,07/12/2022 17:27
USHIFT-421,Task,Closed,USHIFT,MicroShift,software,Done,20/09/2022 10:57,04/11/2022 06:09
USHIFT-420,Task,Closed,USHIFT,MicroShift,software,Done,20/09/2022 10:56,04/10/2022 13:13
USHIFT-419,Task,Closed,USHIFT,MicroShift,software,Done,20/09/2022 10:55,04/10/2022 13:12
USHIFT-418,Task,Closed,USHIFT,MicroShift,software,Done,20/09/2022 10:54,04/10/2022 13:12
USHIFT-417,Task,Closed,USHIFT,MicroShift,software,Done,20/09/2022 10:53,23/09/2022 19:08
USHIFT-416,Task,Closed,USHIFT,MicroShift,software,Done,20/09/2022 08:42,20/09/2022 10:48
USHIFT-415,Story,Closed,USHIFT,MicroShift,software,Done,19/09/2022 14:54,20/09/2022 14:37
USHIFT-411,Bug,Closed,USHIFT,MicroShift,software,Obsolete,16/09/2022 15:10,08/11/2022 21:15
USHIFT-410,Bug,Closed,USHIFT,MicroShift,software,Duplicate,16/09/2022 09:48,01/03/2023 11:53
USHIFT-409,Epic,Closed,USHIFT,MicroShift,software,Done,15/09/2022 17:53,29/10/2024 11:23
USHIFT-408,Story,Closed,USHIFT,MicroShift,software,Done,15/09/2022 15:27,03/10/2022 16:21
USHIFT-407,Bug,Closed,USHIFT,MicroShift,software,Done,15/09/2022 14:33,01/11/2022 15:39
USHIFT-406,Story,Closed,USHIFT,MicroShift,software,Done,15/09/2022 14:13,07/10/2022 10:23
USHIFT-405,Bug,Closed,USHIFT,MicroShift,software,Not a Bug,15/09/2022 14:12,23/09/2022 18:33
USHIFT-404,Story,Closed,USHIFT,MicroShift,software,Done,15/09/2022 14:09,03/10/2022 16:13
USHIFT-403,Task,Closed,USHIFT,MicroShift,software,Done,15/09/2022 12:29,15/09/2022 14:48
USHIFT-401,Bug,Closed,USHIFT,MicroShift,software,Done,15/09/2022 12:10,20/09/2022 15:53
USHIFT-400,Story,Closed,USHIFT,MicroShift,software,Done,14/09/2022 21:29,16/09/2022 20:29
USHIFT-399,Story,Closed,USHIFT,MicroShift,software,Done,14/09/2022 21:08,14/09/2022 21:34
USHIFT-398,Spike,Closed,USHIFT,MicroShift,software,Done,14/09/2022 19:37,29/06/2023 16:18
USHIFT-395,Epic,Closed,USHIFT,MicroShift,software,Obsolete,14/09/2022 19:00,14/08/2024 13:55
USHIFT-394,Task,Closed,USHIFT,MicroShift,software,Duplicate,14/09/2022 17:11,31/07/2023 17:46
USHIFT-390,Epic,Closed,USHIFT,MicroShift,software,Done,13/09/2022 17:04,26/06/2023 16:26
USHIFT-389,Epic,Closed,USHIFT,MicroShift,software,Done,09/09/2022 20:07,09/05/2023 16:30
USHIFT-388,Story,Closed,USHIFT,MicroShift,software,Duplicate,09/09/2022 20:04,20/10/2022 19:24
USHIFT-387,Story,Closed,USHIFT,MicroShift,software,Done,09/09/2022 20:03,20/02/2023 10:06
USHIFT-386,Story,Closed,USHIFT,MicroShift,software,Done,09/09/2022 13:10,09/09/2022 13:12
USHIFT-385,Story,Closed,USHIFT,MicroShift,software,Done,09/09/2022 13:06,09/09/2022 13:06
USHIFT-384,Story,Closed,USHIFT,MicroShift,software,Done,09/09/2022 12:59,03/11/2022 15:14
USHIFT-383,Bug,Closed,USHIFT,MicroShift,software,Done,09/09/2022 11:11,12/09/2022 14:40
USHIFT-375,Bug,Closed,USHIFT,MicroShift,software,Done,08/09/2022 10:29,14/09/2022 21:33
USHIFT-372,Bug,Closed,USHIFT,MicroShift,software,Done,06/09/2022 14:31,06/10/2022 14:10
USHIFT-369,Story,Closed,USHIFT,MicroShift,software,Done,06/09/2022 12:55,08/09/2022 12:28
USHIFT-361,Bug,Closed,USHIFT,MicroShift,software,Done,31/08/2022 11:57,01/09/2022 12:28
USHIFT-340,Bug,Closed,USHIFT,MicroShift,software,Done,29/08/2022 21:09,01/09/2022 14:37
USHIFT-336,Story,Closed,USHIFT,MicroShift,software,Done,26/08/2022 21:37,01/09/2022 23:26
USHIFT-334,Story,Closed,USHIFT,MicroShift,software,Done,26/08/2022 18:45,02/09/2022 07:31
USHIFT-333,Bug,Closed,USHIFT,MicroShift,software,Done,26/08/2022 13:25,14/09/2022 05:57
USHIFT-318,Bug,Closed,USHIFT,MicroShift,software,Done,23/08/2022 16:04,16/09/2022 11:20
USHIFT-286,Task,Closed,USHIFT,MicroShift,software,Done,18/08/2022 15:19,25/08/2022 10:34
USHIFT-266,Bug,Closed,USHIFT,MicroShift,software,Done,10/08/2022 13:19,01/09/2022 21:07
USHIFT-264,Bug,Closed,USHIFT,MicroShift,software,Done,10/08/2022 09:02,13/08/2022 06:12
USHIFT-242,Bug,Closed,USHIFT,MicroShift,software,Done,02/08/2022 19:51,22/08/2022 17:05
USHIFT-237,Bug,Closed,USHIFT,MicroShift,software,Done,01/08/2022 10:30,16/08/2022 15:58
USHIFT-227,Task,Closed,USHIFT,MicroShift,software,Done,28/07/2022 15:27,16/08/2022 09:13
USHIFT-213,Bug,Closed,USHIFT,MicroShift,software,Done,22/07/2022 18:12,23/08/2022 14:32
USHIFT-197,Bug,Closed,USHIFT,MicroShift,software,Done,18/07/2022 20:21,18/08/2022 11:41
USHIFT-22,Bug,Closed,USHIFT,MicroShift,software,Done,08/05/2022 10:05,01/09/2022 12:19
