Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
APPAI-1973,Task,Closed,APPAI,OpenShift App Analytics,software,Done,06/08/2021 05:42,09/08/2021 05:07
APPAI-1972,Story,Closed,APPAI,OpenShift App Analytics,software,Done,06/08/2021 05:32,12/08/2021 07:23
APPAI-1971,Task,Closed,APPAI,OpenShift App Analytics,software,Done,06/08/2021 05:26,09/08/2021 05:07
APPAI-1970,Task,Closed,APPAI,OpenShift App Analytics,software,Done,06/08/2021 05:06,09/08/2021 05:07
APPAI-1969,Task,Closed,APPAI,OpenShift App Analytics,software,Done,06/08/2021 04:58,06/08/2021 04:58
APPAI-1968,Story,Closed,APPAI,OpenShift App Analytics,software,Done,04/08/2021 06:24,31/08/2021 12:44
APPAI-1967,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,03/08/2021 10:40,03/08/2021 10:41
APPAI-1966,Story,Closed,APPAI,OpenShift App Analytics,software,Done,02/08/2021 10:03,02/08/2021 10:05
APPAI-1965,Task,Closed,APPAI,OpenShift App Analytics,software,Done,30/07/2021 05:40,18/08/2021 05:43
APPAI-1964,Story,Closed,APPAI,OpenShift App Analytics,software,Done,28/07/2021 08:02,06/08/2021 05:36
APPAI-1963,Story,Closed,APPAI,OpenShift App Analytics,software,Done,26/07/2021 09:27,27/07/2021 08:23
APPAI-1960,Story,Closed,APPAI,OpenShift App Analytics,software,Done,20/07/2021 06:35,22/07/2021 12:49
APPAI-1959,Story,Closed,APPAI,OpenShift App Analytics,software,Done,15/07/2021 07:57,19/10/2021 14:32
APPAI-1958,Bug,To Do,APPAI,OpenShift App Analytics,software,,14/07/2021 07:11,
APPAI-1957,Task,Closed,APPAI,OpenShift App Analytics,software,Done,13/07/2021 07:37,28/07/2021 05:19
APPAI-1955,Story,Closed,APPAI,OpenShift App Analytics,software,Done,08/07/2021 05:06,21/07/2021 13:41
APPAI-1954,Story,Closed,APPAI,OpenShift App Analytics,software,Done,08/07/2021 04:59,09/08/2021 15:03
APPAI-1953,Story,Closed,APPAI,OpenShift App Analytics,software,Done,08/07/2021 04:55,12/08/2021 03:43
APPAI-1952,Story,Closed,APPAI,OpenShift App Analytics,software,Done,08/07/2021 04:55,26/07/2021 11:22
APPAI-1949,Story,Closed,APPAI,OpenShift App Analytics,software,Done,08/07/2021 04:50,26/07/2021 05:10
APPAI-1948,Story,Closed,APPAI,OpenShift App Analytics,software,Done,08/07/2021 04:49,13/07/2021 06:13
APPAI-1947,Story,Closed,APPAI,OpenShift App Analytics,software,Done,08/07/2021 04:22,17/08/2021 07:20
APPAI-1946,Story,Closed,APPAI,OpenShift App Analytics,software,Done,08/07/2021 04:21,28/07/2021 05:19
APPAI-1944,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,05/07/2021 10:15,06/07/2021 07:01
APPAI-1943,Task,Closed,APPAI,OpenShift App Analytics,software,Done,29/06/2021 04:59,15/07/2021 12:40
APPAI-1942,Task,Closed,APPAI,OpenShift App Analytics,software,Done,29/06/2021 04:56,29/06/2021 04:57
APPAI-1941,Story,Closed,APPAI,OpenShift App Analytics,software,Done,25/06/2021 05:48,15/07/2021 12:40
APPAI-1940,Story,Closed,APPAI,OpenShift App Analytics,software,Done,25/06/2021 05:43,27/07/2021 08:22
APPAI-1939,Story,Closed,APPAI,OpenShift App Analytics,software,Done,25/06/2021 04:58,25/06/2021 04:59
APPAI-1938,Story,Closed,APPAI,OpenShift App Analytics,software,Done,25/06/2021 03:54,06/07/2021 09:29
APPAI-1937,Story,Closed,APPAI,OpenShift App Analytics,software,Done,23/06/2021 07:03,07/07/2021 06:29
APPAI-1936,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,23/06/2021 06:56,03/02/2022 13:03
APPAI-1935,Story,Closed,APPAI,OpenShift App Analytics,software,Done,23/06/2021 04:35,29/06/2021 04:59
APPAI-1934,Story,To Do,APPAI,OpenShift App Analytics,software,,22/06/2021 06:43,
APPAI-1932,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,18/06/2021 13:04,18/06/2021 13:05
APPAI-1930,Story,Closed,APPAI,OpenShift App Analytics,software,Done,17/06/2021 07:12,24/06/2021 05:01
APPAI-1929,Task,Closed,APPAI,OpenShift App Analytics,software,Done,16/06/2021 09:51,24/06/2021 00:11
APPAI-1928,Task,Closed,APPAI,OpenShift App Analytics,software,Done,16/06/2021 09:50,24/06/2021 00:11
APPAI-1927,Story,Closed,APPAI,OpenShift App Analytics,software,Done,16/06/2021 09:48,06/07/2021 07:00
APPAI-1926,Story,Closed,APPAI,OpenShift App Analytics,software,Done,16/06/2021 09:47,06/07/2021 21:41
APPAI-1925,Story,Closed,APPAI,OpenShift App Analytics,software,Done,16/06/2021 09:47,16/06/2021 09:53
APPAI-1924,Story,Closed,APPAI,OpenShift App Analytics,software,Done,16/06/2021 09:46,06/07/2021 21:40
APPAI-1923,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,15/06/2021 10:42,18/06/2021 13:05
APPAI-1922,Story,Closed,APPAI,OpenShift App Analytics,software,Done,15/06/2021 10:26,18/08/2021 05:44
APPAI-1921,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,11/06/2021 04:27,15/06/2021 09:24
APPAI-1920,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,10/06/2021 08:14,14/06/2021 12:06
APPAI-1919,Story,Closed,APPAI,OpenShift App Analytics,software,Done,10/06/2021 05:30,18/06/2021 03:49
APPAI-1918,Story,Closed,APPAI,OpenShift App Analytics,software,Done,10/06/2021 05:08,14/06/2021 12:06
APPAI-1917,Story,Closed,APPAI,OpenShift App Analytics,software,Done,05/06/2021 11:11,11/06/2021 09:00
APPAI-1916,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,05/06/2021 11:03,05/06/2021 11:08
APPAI-1915,Story,Closed,APPAI,OpenShift App Analytics,software,Done,03/06/2021 09:09,09/08/2021 15:04
APPAI-1914,Story,To Do,APPAI,OpenShift App Analytics,software,,01/06/2021 05:50,
