Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
GOODIMNG-68,38474,GOODIMNG,,software,Resolved,Task,03/09/2010 09:18,16/09/2010 09:58
GOODIMNG-67,38255,GOODIMNG,,software,Resolved,Task,01/09/2010 10:07,22/09/2010 10:37
GOODIMNG-66,37904,GOODIMNG,,software,Closed,Task,27/08/2010 13:19,30/08/2010 14:30
GOODIMNG-65,37767,GOODIMNG,,software,Resolved,Bug,26/08/2010 12:34,22/09/2010 09:38
GOODIMNG-64,37457,GOODIMNG,,software,Closed,Task,24/08/2010 09:56,24/08/2010 14:50
GOODIMNG-63,37450,GOODIMNG,,software,Closed,Task,24/08/2010 09:26,24/08/2010 09:27
GOODIMNG-62,37448,GOODIMNG,,software,Closed,Task,24/08/2010 09:08,24/08/2010 09:08
GOODIMNG-61,36236,GOODIMNG,,software,Resolved,Task,06/08/2010 14:25,23/12/2010 09:26
GOODIMNG-59,35984,GOODIMNG,,software,Resolved,Bug,02/08/2010 11:38,02/08/2010 11:38
GOODIMNG-58,35931,GOODIMNG,,software,Closed,Bug,30/07/2010 14:18,02/08/2010 15:38
GOODIMNG-57,35930,GOODIMNG,,software,Closed,Bug,30/07/2010 14:16,24/08/2010 16:10
GOODIMNG-56,35840,GOODIMNG,,software,Closed,Task,29/07/2010 12:35,30/07/2010 14:21
GOODIMNG-55,35829,GOODIMNG,,software,Resolved,Task,29/07/2010 11:05,29/07/2010 14:49
GOODIMNG-54,35717,GOODIMNG,,software,Closed,Bug,27/07/2010 13:08,26/08/2010 12:32
GOODIMNG-53,35559,GOODIMNG,,software,Closed,Task,23/07/2010 09:11,23/07/2010 13:32
GOODIMNG-52,35558,GOODIMNG,,software,Resolved,Bug,23/07/2010 09:09,26/07/2010 13:26
GOODIMNG-51,35525,GOODIMNG,,software,Closed,Task,22/07/2010 12:23,23/07/2010 08:58
GOODIMNG-50,35522,GOODIMNG,,software,Resolved,Bug,22/07/2010 12:22,11/10/2010 09:49
GOODIMNG-49,35409,GOODIMNG,,software,Resolved,Test,20/07/2010 15:13,02/11/2010 07:57
GOODIMNG-48,35394,GOODIMNG,,software,Open,Task,20/07/2010 12:15,
GOODIMNG-47,35393,GOODIMNG,,software,Resolved,Task,20/07/2010 12:11,05/08/2010 15:36
GOODIMNG-46,35392,GOODIMNG,,software,Closed,Task,20/07/2010 12:06,02/08/2010 11:36
GOODIMNG-44,35385,GOODIMNG,,software,Closed,Task,20/07/2010 11:23,06/08/2010 14:05
GOODIMNG-43,35383,GOODIMNG,,software,Resolved,Test,20/07/2010 11:18,07/09/2010 11:44
GOODIMNG-42,35382,GOODIMNG,,software,Resolved,Test,20/07/2010 11:15,07/09/2010 11:44
GOODIMNG-41,35151,GOODIMNG,,software,Resolved,New Feature,15/07/2010 08:56,23/07/2010 09:01
GOODIMNG-40,35088,GOODIMNG,,software,Resolved,Bug,14/07/2010 11:33,15/07/2010 08:49
GOODIMNG-39,34929,GOODIMNG,,software,Closed,Sub-task,12/07/2010 14:44,20/07/2010 11:21
GOODIMNG-38,34928,GOODIMNG,,software,Closed,Sub-task,12/07/2010 14:36,20/07/2010 11:21
GOODIMNG-37,34794,GOODIMNG,,software,Resolved,Task,08/07/2010 15:09,12/07/2010 14:42
GOODIMNG-36,34702,GOODIMNG,,software,Resolved,Other,07/07/2010 14:28,07/07/2010 14:32
GOODIMNG-34,34354,GOODIMNG,,software,Resolved,Task,01/07/2010 11:36,05/07/2010 13:00
GOODIMNG-33,34246,GOODIMNG,,software,Resolved,Task,30/06/2010 09:56,09/07/2010 15:36
GOODIMNG-32,34244,GOODIMNG,,software,Resolved,Task,30/06/2010 09:37,08/07/2010 15:05
GOODIMNG-31,33889,GOODIMNG,,software,Resolved,Bug,24/06/2010 12:07,15/07/2010 08:49
GOODIMNG-30,33637,GOODIMNG,,software,Closed,Task,22/06/2010 08:27,06/08/2010 14:06
GOODIMNG-29,33578,GOODIMNG,,software,Resolved,Task,21/06/2010 12:01,22/06/2010 14:25
GOODIMNG-28,33035,GOODIMNG,,software,Closed,Sub-task,10/06/2010 15:20,20/07/2010 11:22
GOODIMNG-27,33033,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:14,22/06/2010 14:33
GOODIMNG-26,33031,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:14,21/06/2010 14:59
GOODIMNG-25,33030,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:12,30/06/2010 09:46
GOODIMNG-24,33028,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:10,30/06/2010 09:46
GOODIMNG-23,33027,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:10,06/07/2010 15:43
GOODIMNG-22,33026,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:09,30/06/2010 09:46
GOODIMNG-21,33025,GOODIMNG,,software,Closed,Sub-task,10/06/2010 15:09,20/07/2010 11:21
GOODIMNG-20,33024,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:08,30/06/2010 09:46
GOODIMNG-19,33023,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:08,30/06/2010 09:46
GOODIMNG-18,33022,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:08,30/06/2010 09:46
GOODIMNG-17,33021,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:07,30/06/2010 09:46
GOODIMNG-16,33020,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:07,30/06/2010 09:46
GOODIMNG-15,33019,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:07,30/06/2010 09:46
GOODIMNG-14,33018,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:06,30/06/2010 09:46
GOODIMNG-13,33017,GOODIMNG,,software,Closed,Sub-task,10/06/2010 15:05,20/07/2010 11:19
GOODIMNG-12,33016,GOODIMNG,,software,Closed,Sub-task,10/06/2010 15:05,20/07/2010 11:20
GOODIMNG-11,33015,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:04,30/06/2010 09:46
GOODIMNG-10,33014,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:04,30/06/2010 09:46
GOODIMNG-9,33013,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:03,30/06/2010 09:46
GOODIMNG-8,33012,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:03,30/06/2010 09:46
GOODIMNG-7,33011,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:03,30/06/2010 09:46
GOODIMNG-6,33010,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:02,30/06/2010 09:46
GOODIMNG-5,33009,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:01,30/06/2010 09:46
GOODIMNG-4,33008,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 15:00,30/06/2010 09:46
GOODIMNG-3,33007,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 14:59,30/06/2010 09:46
GOODIMNG-2,33006,GOODIMNG,,software,Resolved,Sub-task,10/06/2010 14:57,30/06/2010 09:46
GOODIMNG-1,33004,GOODIMNG,,software,Closed,Test,10/06/2010 14:55,20/07/2010 11:22
