Issue key,Issue id,Project key,Project name,Project type,Status,Issue Type,Created,Resolved
P4DPIII-128,650526,P4DPIII,,software,Done,Bug,25/11/2019 14:13,28/11/2019 11:54
P4DPIII-127,650454,P4DPIII,,software,Done,Bug,25/11/2019 11:47,25/11/2019 13:07
P4DPIII-126,650294,P4DPIII,,software,Done,Bug,22/11/2019 14:43,25/11/2019 11:48
P4DPIII-125,650229,P4DPIII,,software,Done,Bug,22/11/2019 11:56,25/11/2019 11:24
P4DPIII-124,650181,P4DPIII,,software,Done,Bug,22/11/2019 10:26,25/11/2019 12:02
P4DPIII-123,650162,P4DPIII,,software,To Do,Task,22/11/2019 09:25,
P4DPIII-122,650124,P4DPIII,,software,Done,Bug,21/11/2019 17:42,18/12/2019 10:51
P4DPIII-121,650099,P4DPIII,,software,Done,Bug,21/11/2019 16:42,16/12/2019 15:47
P4DPIII-120,649989,P4DPIII,,software,To Do,Task,21/11/2019 12:07,
P4DPIII-119,649929,P4DPIII,,software,Done,Task,21/11/2019 09:53,16/12/2019 07:34
P4DPIII-118,649914,P4DPIII,,software,Done,Task,21/11/2019 09:33,31/12/2019 12:11
P4DPIII-117,649887,P4DPIII,,software,Done,Bug,21/11/2019 07:37,25/11/2019 13:33
P4DPIII-116,649878,P4DPIII,,software,Done,Task,20/11/2019 23:07,13/12/2019 12:16
P4DPIII-115,649816,P4DPIII,,software,Done,Bug,20/11/2019 15:06,22/11/2019 09:26
P4DPIII-114,649801,P4DPIII,,software,Done,Bug,20/11/2019 14:16,25/11/2019 10:04
P4DPIII-113,649585,P4DPIII,,software,Done,Bug,20/11/2019 10:15,21/11/2019 07:39
P4DPIII-112,649268,P4DPIII,,software,Done,Task,18/11/2019 17:03,19/02/2020 14:01
P4DPIII-111,649267,P4DPIII,,software,Done,Task,18/11/2019 17:01,19/02/2020 14:42
P4DPIII-110,649266,P4DPIII,,software,Done,Task,18/11/2019 17:01,19/02/2020 15:22
P4DPIII-109,649265,P4DPIII,,software,Done,Task,18/11/2019 17:00,20/02/2020 11:55
P4DPIII-108,649264,P4DPIII,,software,Done,Task,18/11/2019 16:59,19/02/2020 14:44
P4DPIII-107,649263,P4DPIII,,software,Done,Task,18/11/2019 16:58,19/02/2020 13:53
P4DPIII-106,649262,P4DPIII,,software,Done,Task,18/11/2019 16:57,19/02/2020 14:06
P4DPIII-105,649258,P4DPIII,,software,Done,Task,18/11/2019 16:51,19/02/2020 15:31
P4DPIII-104,649154,P4DPIII,,software,Done,Task,18/11/2019 12:27,02/01/2020 13:01
P4DPIII-103,649139,P4DPIII,,software,To Do,Test,18/11/2019 11:35,
P4DPIII-102,649138,P4DPIII,,software,To Do,Test,18/11/2019 11:32,
P4DPIII-101,649137,P4DPIII,,software,To Do,Test,18/11/2019 11:28,
P4DPIII-100,649136,P4DPIII,,software,To Do,Test,18/11/2019 11:26,
