Issue key,Issue id,Project key,Column1,Project type,Status,Issue Type,Created,Resolved
NEDGEX-362,727833,NEDGEX,,software,To Do,User Story,05/07/2021 10:42,
NEDGEX-361,727832,NEDGEX,,software,Closed,User Story,05/07/2021 10:40,13/09/2021 10:25
NEDGEX-360,727831,NEDGEX,,software,Closed,User Story,05/07/2021 10:36,
NEDGEX-359,727830,NEDGEX,,software,To Do,Epic,05/07/2021 10:35,
NEDGEX-358,727828,NEDGEX,,software,To Do,Epic,05/07/2021 10:35,
NEDGEX-357,727826,NEDGEX,,software,To Do,Epic,05/07/2021 10:34,
NEDGEX-356,727825,NEDGEX,,software,To Do,Epic,05/07/2021 10:33,
NEDGEX-355,727824,NEDGEX,,software,To Do,Epic,05/07/2021 10:29,
NEDGEX-354,727823,NEDGEX,,software,To Do,Epic,05/07/2021 10:26,
NEDGEX-353,720172,NEDGEX,,software,Ready for Testing,Sub-bug,17/05/2021 15:32,
NEDGEX-352,720165,NEDGEX,,software,To Do,Sub-bug,17/05/2021 14:52,
NEDGEX-351,720144,NEDGEX,,software,Ready for Testing,Sub-bug,17/05/2021 14:04,
NEDGEX-350,716153,NEDGEX,,software,To Do,Bug,20/04/2021 12:50,
NEDGEX-349,716152,NEDGEX,,software,To Do,Bug,20/04/2021 12:47,
NEDGEX-348,716151,NEDGEX,,software,To Do,Bug,20/04/2021 12:45,
NEDGEX-347,716150,NEDGEX,,software,In progress,Bug,20/04/2021 12:41,
NEDGEX-346,704632,NEDGEX,,software,Ready for Refinement,User Story,30/01/2021 21:36,
NEDGEX-345,704631,NEDGEX,,software,Ready for Testing,User Story,30/01/2021 21:19,
NEDGEX-344,703222,NEDGEX,,software,Ready for Testing,Bug,21/01/2021 00:03,
NEDGEX-343,703221,NEDGEX,,software,Ready for Testing,Bug,20/01/2021 22:55,
NEDGEX-342,703101,NEDGEX,,software,Ready for Testing,Sub-bug,20/01/2021 10:54,
NEDGEX-341,703097,NEDGEX,,software,Ready for Testing,Bug,20/01/2021 10:48,
NEDGEX-340,702824,NEDGEX,,software,Done,Sub-task,18/01/2021 13:21,18/01/2021 14:59
NEDGEX-339,702790,NEDGEX,,software,Done,Sub-task,18/01/2021 12:57,18/01/2021 13:19
NEDGEX-338,702323,NEDGEX,,software,Ready for Testing,Task,14/01/2021 13:26,
